SZ002749,1.29亿
SZ002750,-98.92万
SZ002751,-3.97亿
SZ002752,-4.8亿
SZ002753,-2.26亿
SZ002755,4.3亿
SZ002756,9.55亿
SZ002757,0.67亿
SZ002758,21.23亿
SZ002759,7.99亿
SZ002760,0.92亿
SZ002761,-12.96亿
SZ002762,0.13亿
SZ002763,4.12亿
SZ002765,1.2亿
SZ002766,-0.21亿
SZ002767,-0.31亿
SZ002768,1.25亿
SZ002770,-0.1亿
SZ002772,-6.63亿
SZ002773,0.91亿
SZ002774,3.43亿
SZ002775,-10.02亿
SZ002776,-7.68百万
SZ002777,0.51亿
SZ002778,0.13亿
SZ002779,-0.11亿
SZ002780,-0.55亿
SZ002781,0.38亿
SZ002782,-1.58亿
SZ002783,-9.64百万
SZ002785,6.24百万
SZ002786,-4.07亿
SZ002787,0.74亿
SZ002788,-5.28亿
SZ002789,-1.03亿
SZ002790,-3.16百万
SZ002791,0.85亿
SZ002792,-0.72亿
SZ002793,-7.94亿
SZ002795,1.41亿
SZ002796,-2.82亿
SZ002797,-10.36亿
SZ002798,-7.5亿
SZ002799,0.68亿
SZ002800,0.64亿
SZ002801,1.81亿
SZ002802,1.09亿
SZ002803,-0.36亿
SZ002805,-6.58亿
SZ002806,-0.3亿
SZ002807,-0.62亿
SZ002808,0.12亿
SZ002809,0.74亿
SZ002810,-4.12亿
SZ002811,2.46亿
SZ002812,-35.29亿
SZ002813,--
SZ002815,1.92亿
SZ002817,0.5亿
SZ002818,4.93亿
SZ002819,0.35亿
SZ002820,0.16亿
SZ002821,-18.32亿
SZ002822,-8.52亿
SZ002823,-0.91亿
SZ002824,-2.54亿
SZ002825,-0.44亿
SZ002826,1.07亿
SZ002827,-0.74亿
SZ002828,-0.69亿
SZ002829,0.22亿
SZ002830,-0.25亿
SZ002831,-2.8亿
SZ002833,1.1亿
SZ002835,-0.62亿
SZ002836,0.44亿
SZ002837,3.11亿
SZ002838,-3.64亿
SZ002839,-9.59亿
SZ002840,-18.11亿
SZ002841,15.38亿
SZ002842,0.62亿
SZ002843,1.18亿
SZ002845,3.41亿
SZ002846,-3.26亿
SZ002847,2.35亿
SZ002848,-0.1亿
SZ002849,-0.14亿
